Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Georgia,Philadelphia,NA,,London,Bristol,Liverpool,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1743,,,,Sterling,,,,,Quantity,Value,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,25,,0.000446429,159.79,0.006984614,,,,,0,0,,240,,240,2,,,,,0,0,,0,0,240,2
Beans,bushels,2.14,,0.05,159.79,0.066962889,,,,10,10,1,,,,0,0,,,,,0,0,,0,0,10,1
Corn,bushels,2.14,,0.05,159.79,0.066962889,100,18131,1852,260,20343,1362,5000,,,5000,335,,,,,0,0,2600,2600,174,27943,1871
Deer Skins,,,,,159.79,0,,,,,0,0,,,,0,0,673,529,,,1202,0,,0,0,1202,0
Flour,pounds,8.69,,0.000446429,159.79,0.002427852,,2000,,,2000,5,,,,0,0,,,,,0,0,,0,0,2000,5
Flour,barrels,8.69,,0.089285714,159.79,0.485570347,,10,,,10,5,,,,0,0,,,,,0,0,,0,0,10,5
Heading,,3.31,,0.001,159.79,0.002071469,,400,,,400,1,,,,0,0,,,,,0,0,,0,0,400,1
Indigo,pounds,7.42,,0.05,159.79,0.232179736,,,,,0,0,,,880,880,204,5610,,,220,5830,1354,,0,0,6710,1558
Iron,tons,8.34,,1,159.79,5.219350397,,,,,0,0,,,,0,0,409,334,,,743,3878,,0,0,743,3878
Peas,bushels,2.14,,0.05,159.79,0.066962889,415,110,560,450,1535,103,265,,,265,18,,,,,0,0,154,154,10,1954,131
Plank,tons,5.296,,,159.79,0,,,,,0,0,2,,,2,0,,,,,0,0,,0,0,2,0
Plank,feet,5.296,,0.0005,159.79,0.001657175,,,,2000,2000,3,,,,0,0,,30,,,30,0,,0,0,2030,3
Plank,pieces,5.296,,0.005,159.79,0.01657175,,,,,0,0,3,,,3,0,,90,,,90,1,,0,0,93,1
Planks,,5.296,,0.005,159.79,0.01657175,,,,,0,0,,,,0,0,8,162,,,170,3,,0,0,170,3
Pork,casks,68.52,,0.05,159.79,2.144064084,,1,,,1,2,,,,0,0,,,,,0,0,,0,0,1,2
Pork,barrels,68.52,,0.05,159.79,2.144064084,,46,86,,132,283,,,,0,0,,,,,0,0,,0,0,132,283
Rum,gallons,3.16,,0.05,159.79,0.09887978,,,,,0,0,,,,0,0,1714,490,,,2204,218,,0,0,2204,218
Salt,bushels,2.14,,0.05,159.79,0.066962889,190,,,,190,13,,,,0,0,,,,,0,0,,0,0,190,13
Shingles,M,,,,159.79,0,,45,,,45,0,,,,0,0,,,,,0,0,,0,0,45,0
Shingles,,,,,159.79,0,,58128,,,58128,0,,,,0,0,,,,,0,0,,0,0,58128,0
Staves,,3.31,,0.001,159.79,0.002071469,,,,,0,0,,,,0,0,139452,92652,10100,9100,251304,521,,0,0,251304,521
Sugar,barrels,38.94,,0.15,159.79,3.655422742,,,,,0,0,,2,,2,7,,,,,0,0,,0,0,2,7
Tar,barrels,10.4,,0.05,159.79,0.325427123,,,,,0,0,,,,0,0,444,,,,444,144,,0,0,444,144
Tobacco,hhds,16.25,,0.479,159.79,4.871237249,,,,,0,0,,,,0,0,827,3166,335,779,5107,24877,,0,0,5107,24877
Wax,pounds,,,,159.79,0,,,,,0,0,,,,0,0,,,,,0,0,400,400,0,400,0
Wheat,bushels,2.84,,0.05,159.79,0.088866637,,,,,0,0,,,,0,0,,,,,0,0,1180,1180,105,1180,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,1778,,,,,566,,,,,,30996,,,289,,33629
