Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Bermuda,Boston,Piscataqua,NA,,TOTAL,
,,1731,,,,Sterling,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Beans,bushels,1.65,,0.05,153.28,0.053823069,,0,0,,15,20,35,2,35,2
Beef,barrels,36.31,,0.05,153.28,1.184433716,,0,0,,3,,3,4,3,4
Corn,bushels,1.65,,0.05,153.28,0.053823069,1300,1300,70,4262,12410,1000,17672,951,18972,1021
Deer skins (raw),,,,,153.28,0,,0,0,,99,,99,0,99,0
Heading,,2.25,,0.001,153.28,0.001467902,200,200,0,,,,0,0,200,0
Plank,feet,3.6,,0.0005,153.28,0.001174322,,0,0,,2700,,2700,3,2700,3
Pork,pounds,55.97,,0.00025,153.28,0.009128719,,0,0,,150,,150,1,150,1
Pork,barrels,55.97,,0.05,153.28,1.825743737,20,20,37,,130,3,133,243,153,280
Rum,tierces,2.64,,3,153.28,5.167014614,,0,0,,2,,2,10,2,10
Rum,hhds,2.64,,5.25,153.28,9.042275574,,0,0,,2,1,3,27,3,27
Rye,bushels,1.65,,0.05,153.28,0.053823069,,0,0,,66,,66,4,66,4
Staves (barrels),,22.5,,0.00005,153.28,0.000733951,,0,0,,1800,,1800,1,1800,1
Wax,barrels,,,,153.28,0,,0,0,,1,,1,0,1,0
Wheat,bushels,2.47,,0.05,153.28,0.080571503,,0,0,,2230,100,2330,188,2330,188
,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,107,,,,,1434,,1541
