Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,Piscataqua,Salem,NA,,Africa,AFR,,Isle of May,SEU,,TOTAL,
,,1749,,,,Sterling,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,171.39,0,,,,500,500,0,,0,0,,0,0,500,0
Molasses,hhds,2.08,,5.05,171.39,6.128712294,,,,2,2,12,,0,0,,0,0,2,12
Negroes,,27.12,,1,100,27.12,,,,,0,0,1160,1160,31459,,0,0,1160,31459
Rum,hhds,3.77,,5.25,171.39,11.54822335,3,5,,4,12,139,,0,0,,0,0,12,139
Rum,gallons,3.77,,0.05,171.39,0.10998308,,,427,,427,47,,0,0,,0,0,427,47
Salt,hhds,2.345,,0.35,171.39,0.478878581,,5,14,10,29,14,,0,0,,0,0,29,14
Salt,bushels,2.345,,0.05,171.39,0.068411226,2200,,,,2200,151,,0,0,7000,7000,479,9200,630
Sugar,barrels,1.49,,0.15,171.39,0.130404341,,,,2,2,0,,0,0,,0,0,2,0
Virginia currency,pence,1,,0.004166667,123.75,0.003367003,,,,2,2,0,,0,0,,0,0,2,0
Virginia currency,shillings,1,,0.05,123.75,0.04040404,,,5,15,20,1,,0,0,,0,0,20,1
Virginia currency,pounds,1,,1,123.75,0.808080808,170,,126,3,299,242,,0,0,,0,0,299,242
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,606,,,31459,,,479,,32544
